raw_symbol,instrument_id,date
TQQQ  260116C00080000,1442846768,2025-03-12
TQQQ  260116C00080000,1442841060,2025-03-13
TQQQ  260116C00080000,1442853013,2025-03-14
TQQQ  260116C00080000,1442853013,2025-03-15
TQQQ  260116C00080000,1442853013,2025-03-16
TQQQ  260116C00080000,1442865428,2025-03-17
TQQQ  260116C00080000,1442863324,2025-03-18
TQQQ  260116C00080000,1442852280,2025-03-19
TQQQ  260116C00080000,1442869558,2025-03-20
TQQQ  260116C00080000,1442854281,2025-03-21
TQQQ  260116C00080000,1442854281,2025-03-22
TQQQ  260116C00080000,1442854281,2025-03-23
TQQQ  260116C00080000,1442862242,2025-03-24
TQQQ  260116C00080000,1442854592,2025-03-25
TQQQ  250919C00096000,1426066054,2025-02-26
TQQQ  250919C00096000,1426088689,2025-02-27
TQQQ  250919C00096000,1426097412,2025-02-28
TQQQ  250919C00096000,1426097412,2025-03-01
TQQQ  250919C00096000,1426097412,2025-03-02
TQQQ  250919C00096000,1426090030,2025-03-03
TQQQ  250919C00096000,1426067169,2025-03-04
TQQQ  250919C00096000,1426098360,2025-03-05
TQQQ  250919C00096000,1426090891,2025-03-06
TQQQ  250919C00096000,1426099947,2025-03-07
TQQQ  250919C00096000,1426099947,2025-03-08
TQQQ  250919C00096000,1426099947,2025-03-09
TQQQ  250919C00096000,1426074688,2025-03-10
TQQQ  250919C00096000,1426090207,2025-03-11
TQQQ  250919C00096000,1426082368,2025-03-12
TQQQ  250919C00096000,1426082365,2025-03-13
TQQQ  250919C00096000,1426066128,2025-03-14
TQQQ  250919C00096000,1426066128,2025-03-15
TQQQ  250919C00096000,1426066128,2025-03-16
TQQQ  250919C00096000,1426083436,2025-03-17
TQQQ  250919C00096000,1426100371,2025-03-18
TQQQ  250919C00096000,1426090967,2025-03-19
TQQQ  250919C00096000,1426066197,2025-03-20
TQQQ  250919C00096000,1426100548,2025-03-21
TQQQ  250919C00096000,1426100548,2025-03-22
TQQQ  250919C00096000,1426100548,2025-03-23
TQQQ  250919C00096000,1426113349,2025-03-24
TQQQ  250919C00096000,1426079156,2025-03-25
TQQQ  270115P00040000,1426087235,2025-02-26
TQQQ  270115P00040000,1426072243,2025-02-27
TQQQ  270115P00040000,1426096051,2025-02-28
TQQQ  270115P00040000,1426096051,2025-03-01
TQQQ  270115P00040000,1426096051,2025-03-02
TQQQ  270115P00040000,1426110898,2025-03-03
TQQQ  270115P00040000,1426080692,2025-03-04
TQQQ  270115P00040000,1426064692,2025-03-05
TQQQ  270115P00040000,1426097296,2025-03-06
TQQQ  270115P00040000,1426090053,2025-03-07
TQQQ  270115P00040000,1426090053,2025-03-08
TQQQ  270115P00040000,1426090053,2025-03-09
TQQQ  270115P00040000,1426073234,2025-03-10
TQQQ  270115P00040000,1426064689,2025-03-11
TQQQ  270115P00040000,1426080934,2025-03-12
TQQQ  270115P00040000,1426089043,2025-03-13
TQQQ  270115P00040000,1426105510,2025-03-14
TQQQ  270115P00040000,1426105510,2025-03-15
TQQQ  270115P00040000,1426105510,2025-03-16
TQQQ  270115P00040000,1426064668,2025-03-17
TQQQ  270115P00040000,1426106021,2025-03-18
TQQQ  270115P00040000,1426097643,2025-03-19
TQQQ  270115P00040000,1426081221,2025-03-20
TQQQ  270115P00040000,1426099047,2025-03-21
TQQQ  270115P00040000,1426099047,2025-03-22
TQQQ  270115P00040000,1426099047,2025-03-23
TQQQ  270115P00040000,1426067073,2025-03-24
TQQQ  270115P00040000,1426097539,2025-03-25
TQQQ  250919C00094000,1426088610,2025-02-26
TQQQ  250919C00094000,1426081139,2025-02-27
TQQQ  250919C00094000,1426066063,2025-02-28
TQQQ  250919C00094000,1426066063,2025-03-01
TQQQ  250919C00094000,1426066063,2025-03-02
TQQQ  250919C00094000,1426108992,2025-03-03
TQQQ  250919C00094000,1426083216,2025-03-04
TQQQ  250919C00094000,1426106455,2025-03-05
TQQQ  250919C00094000,1426107189,2025-03-06
TQQQ  250919C00094000,1426074528,2025-03-07
